
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

88      0.2359      0.982          0          0         0         0
89      0.2358     0.9816          0          0         0         0
90      0.2356     0.9809          0          0         0         0
91      0.2362     0.9836          0          0         0         0
92       0.236     0.9824          0          0         0         0
93      0.2357     0.9815          0          0         0         0
94      0.2355     0.9806          0          0         0         0
95      0.2344     0.9759          0          0         0         0
96      0.2337     0.9729          0          0         0         0
97      0.2331     0.9705          0          0         0         0
98      0.2327      0.969          0          0         0         0
99      0.2326     0.9683          0          0         0         0
100     0.2336     0.9727          0          0         0         0
101     0.2328     0.9694          0          0         0         0
102     0.2326     0.9683          0          0         0         0
103     0.2325     0.9681          0          0         0         0
104     0.2336     0.9724          0          0         0         0
105      0.233       0.97          0          0         0         0
106     0.2326     0.9684          0          0         0         0
107     0.2323     0.9674          0          0         0         0
108     0.2339     0.9738          0          0         0         0
109     0.2331     0.9704          0          0         0         0
110     0.2324     0.9677          0          0         0         0
111     0.2319     0.9654          0          0         0         0
112     0.2315     0.9637          0          0         0         0
113     0.2312     0.9626          0          0         0         0
114     0.2311     0.9621          0          0         0         0
115      0.233     0.9699          0          0         0         0
116     0.2324     0.9675          0          0         0         0
117     0.2317     0.9649          0          0         0         0
118     0.2313     0.9632          0          0         0         0
119      0.231     0.9619          0          0         0         0
120      0.231     0.9618          0          0         0         0
121      0.233       0.97          0          0         0         0
122     0.2323     0.9671          0          0         0         0
123     0.2318     0.9651          0          0         0         0
124     0.2313     0.9632          0          0         0         0
125     0.2311     0.9621          0          0         0         0
126      0.231     0.9617          0          0         0         0
127     0.2338     0.9733          0          0         0         0
128     0.2329     0.9698          0          0         0         0
129     0.2322      0.967          0          0         0         0
130     0.2317     0.9646          0          0         0         0
131     0.2313      0.963          0          0         0         0
132      0.231     0.9618          0          0         0         0
133     0.2309     0.9614          0          0         0         0
134     0.2328     0.9694          0          0         0         0
135     0.2322     0.9667          0          0         0         0
136     0.2315      0.964          0          0         0         0
137     0.2312     0.9625          0          0         0         0
138     0.2308     0.9611          0          0         0         0
139     0.2308      0.961          0          0         0         0
140     0.2328     0.9693          0          0         0         0
141     0.2321     0.9664          0          0         0         0
142     0.2316     0.9643          0          0         0         0
143     0.2312     0.9626          0          0         0         0
144     0.2309     0.9614          0          0         0         0
145     0.2308      0.961          0          0         0         0
146     0.2337     0.9731          0          0         0         0
147     0.2329     0.9698          0          0         0         0
148     0.2323     0.9672          0          0         0         0
149     0.2318      0.965          0          0         0         0
150     0.2313     0.9632          0          0         0         0
151      0.231     0.9619          0          0         0         0
152     0.2309     0.9613          0          0         0         0
153     0.2329     0.9695          0          0         0         0
154     0.2322     0.9669          0          0         0         0
155     0.2317     0.9645          0          0         0         0
156     0.2312     0.9628          0          0         0         0
157     0.2309     0.9614          0          0         0         0
158     0.2308     0.9609          0          0         0         0
159     0.2328     0.9693          0          0         0         0
160     0.2322     0.9668          0          0         0         0
161     0.2317     0.9647          0          0         0         0
162     0.2313     0.9629          0          0         0         0
163     0.2309     0.9614          0          0         0         0
164     0.2308     0.9609          0          0         0         0
165     0.2335     0.9723          0          0         0         0
166     0.2327     0.9689          0          0         0         0
167      0.232     0.9661          0          0         0         0
168     0.2315     0.9639          0          0         0         0
169     0.2311     0.9622          0          0         0         0
170     0.2308     0.9611          0          0         0         0
171     0.2307     0.9605          0          0         0         0
172     0.2326     0.9685          0          0         0         0
173     0.2319     0.9656          0          0         0         0
174     0.2314     0.9634          0          0         0         0
175      0.231     0.9618          0          0         0         0
176     0.2307     0.9606          0          0         0         0
177     0.2306     0.9601          0          0         0         0
178     0.2326     0.9684          0          0         0         0
179     0.2319     0.9657          0          0         0         0
180     0.2314     0.9634          0          0         0         0
181      0.231      0.962          0          0         0         0
182     0.2307     0.9606          0          0         0         0
183     0.2306     0.9601          0          0         0         0
184     0.2338     0.9733          0          0         0         0
185     0.2331     0.9705          0          0         0         0
186     0.2326     0.9684          0          0         0         0
187     0.2322     0.9669          0          0         0         0
188      0.232     0.9659          0          0         0         0
189      0.233     0.9702          0          0         0         0
190     0.2325      0.968          0          0         0         0
191     0.2321     0.9666          0          0         0         0
192     0.2319     0.9654          0          0         0         0
193      0.233     0.9699          0          0         0         0
194     0.2325     0.9679          0          0         0         0
195     0.2321     0.9664          0          0         0         0
196     0.2317     0.9647          0          0         0         0
197     0.2337     0.9729          0          0         0         0
198     0.2331     0.9704          0          0         0         0
199     0.2326     0.9685          0          0         0         0
200     0.2324     0.9674          0          0         0         0
201     0.2322     0.9669          0          0         0         0
202      0.233       0.97          0          0         0         0
203     0.2325      0.968          0          0         0         0
204     0.2323      0.967          0          0         0         0
205     0.2321     0.9664          0          0         0         0
206      0.233       0.97          0          0         0         0
207     0.2323     0.9674          0          0         0         0
208     0.2323     0.9673          0          0         0         0
209     0.2321     0.9664          0          0         0         0
210     0.2345     0.9762          0          0         0         0
211     0.2341     0.9747          0          0         0         0
212     0.2338     0.9735          0          0         0         0
213     0.2337     0.9731          0          0         0         0
214      0.234     0.9742          0          0         0         0
215     0.2338     0.9733          0          0         0         0
216     0.2337     0.9728          0          0         0         0
217      0.234     0.9744          0          0         0         0
218     0.2337     0.9729          0          0         0         0
219     0.2336     0.9726          0          0         0         0
220     0.2337     0.9731          0          0         0         0
221     0.2332     0.9708          0          0         0         0
222     0.2327      0.969          0          0         0         0
223     0.2325     0.9678          0          0         0         0
224     0.2323     0.9673          0          0         0         0
225     0.2331     0.9705          0          0         0         0
226     0.2326     0.9685          0          0         0         0
227     0.2323     0.9673          0          0         0         0
228     0.2322     0.9669          0          0         0         0
229     0.2331     0.9704          0          0         0         0
230     0.2326     0.9685          0          0         0         0
231     0.2323     0.9674          0          0         0         0
232     0.2322      0.967          0          0         0         0
233     0.2333     0.9713          0          0         0         0
234     0.2327     0.9688          0          0         0         0
235     0.2323     0.9671          0          0         0         0
236      0.232      0.966          0          0         0         0
237     0.2319     0.9654          0          0         0         0
238     0.2325     0.9681          0          0         0         0
239     0.2321     0.9666          0          0         0         0
240     0.2319     0.9657          0          0         0         0
241     0.2317     0.9649          0          0         0         0
242     0.2326     0.9683          0          0         0         0
243     0.2322     0.9668          0          0         0         0
244     0.2319     0.9655          0          0         0         0
245     0.2318      0.965          0          0         0         0
246     0.2325     0.9681          0          0         0         0
247     0.2318     0.9649          0          0         0         0
248     0.2311     0.9623          0          0         0         0
249     0.2306     0.9602          0          0         0         0
250     0.2302     0.9585          0          0         0         0
251     0.2299     0.9572          0          0         0         0
252     0.2297     0.9562          0          0         0         0
253     0.2317     0.9648          0          0         0         0
254     0.2311     0.9622          0          0         0         0
255     0.2306     0.9601          0          0         0         0
256     0.2302     0.9584          0          0         0         0
257     0.2299      0.957          0          0         0         0
258     0.2294     0.9553          0          0         0         0
259     0.2316     0.9643          0          0         0         0
260      0.231     0.9616          0          0         0         0
261     0.2305     0.9598          0          0         0         0
262     0.2301     0.9581          0          0         0         0
263     0.2298     0.9567          0          0         0         0
264     0.2295     0.9557          0          0         0         0
265     0.2329     0.9695          0          0         0         0
266     0.2322     0.9668          0          0         0         0
267     0.2317     0.9648          0          0         0         0
268     0.2314     0.9634          0          0         0         0
269     0.2312     0.9626          0          0         0         0
270     0.2321     0.9662          0          0         0         0
271     0.2316     0.9642          0          0         0         0
272     0.2313     0.9629          0          0         0         0
273     0.2311     0.9622          0          0         0         0
274     0.2321     0.9665          0          0         0         0
275     0.2316     0.9645          0          0         0         0
276     0.2313     0.9629          0          0         0         0
277      0.231      0.962          0          0         0         0
278      0.233     0.9701          0          0         0         0
279     0.2324     0.9677          0          0         0         0
280      0.232      0.966          0          0         0         0
281     0.2317     0.9649          0          0         0         0
282     0.2316     0.9644          0          0         0         0
283     0.2323     0.9671          0          0         0         0
284     0.2319     0.9657          0          0         0         0
285     0.2317     0.9646          0          0         0         0
286     0.2316     0.9642          0          0         0         0
287     0.2323     0.9671          0          0         0         0
288     0.2319     0.9656          0          0         0         0
289     0.2316     0.9641          0          0         0         0
290     0.2315     0.9639          0          0         0         0
291      0.233     0.9699          0          0         0         0
292     0.2324     0.9676          0          0         0         0
293     0.2319     0.9657          0          0         0         0
294     0.2317     0.9646          0          0         0         0
295     0.2316     0.9641          0          0         0         0
296     0.2323      0.967          0          0         0         0
297     0.2318     0.9652          0          0         0         0
298     0.2316     0.9642          0          0         0         0
299     0.2315     0.9638          0          0         0         0
300     0.2323     0.9674          0          0         0         0
301     0.2317     0.9648          0          0         0         0
302     0.2315      0.964          0          0         0         0
303     0.2315     0.9637          0          0         0         0
304     0.2329     0.9698          0          0         0         0
305     0.2323     0.9674          0          0         0         0
306     0.2319     0.9654          0          0         0         0
307     0.2315     0.9638          0          0         0         0
308     0.2312     0.9626          0          0         0         0
309     0.2311      0.962          0          0         0         0
310     0.2322     0.9669          0          0         0         0
311     0.2318      0.965          0          0         0         0
312     0.2314     0.9635          0          0         0         0
313     0.2311     0.9621          0          0         0         0
314     0.2309     0.9615          0          0         0         0
315     0.2323     0.9672          0          0         0         0
316     0.2318     0.9651          0          0         0         0
317     0.2314     0.9635          0          0         0         0
318     0.2311      0.962          0          0         0         0
319      0.231     0.9617          0          0         0         0
320      0.237     0.9869          0          0         0         0
321     0.2363     0.9838          0          0         0         0
322     0.2356     0.9811          0          0         0         0
323     0.2351     0.9788          0          0         0         0
324     0.2346     0.9768          0          0         0         0
325     0.2343     0.9753          0          0         0         0
326     0.2362     0.9836          0          0         0         0
327     0.2356      0.981          0          0         0         0
328     0.2351     0.9787          0          0         0         0
329     0.2345     0.9766          0          0         0         0
330     0.2338     0.9735          0          0         0         0
331     0.2362     0.9836          0          0         0         0
332     0.2355     0.9806          0          0         0         0
333      0.235     0.9785          0          0         0         0
334     0.2345     0.9764          0          0         0         0
335     0.2341     0.9749          0          0         0         0
336     0.2374     0.9885          0          0         0         0
337     0.2368     0.9861          0          0         0         0
338     0.2364     0.9841          0          0         0         0
339      0.236     0.9825          0          0         0         0
340     0.2357     0.9813          0          0         0         0
341     0.2356     0.9808          0          0         0         0
342     0.2368     0.9858          0          0         0         0
343     0.2363     0.9837          0          0         0         0
344     0.2359     0.9821          0          0         0         0
345     0.2356     0.9809          0          0         0         0
346     0.2355     0.9803          0          0         0         0
347     0.2368     0.9858          0          0         0         0
348     0.2363     0.9837          0          0         0         0
349     0.2359     0.9823          0          0         0         0
350     0.2355     0.9807          0          0         0         0
351     0.2355     0.9804          0          0         0         0
352      0.237     0.9867          0          0         0         0
353     0.2363     0.9839          0          0         0         0
354     0.2357     0.9814          0          0         0         0
355     0.2352     0.9793          0          0         0         0
356     0.2348     0.9778          0          0         0         0
357     0.2347     0.9772          0          0         0         0
358     0.2362     0.9836          0          0         0         0
359     0.2356      0.981          0          0         0         0
360     0.2351     0.9789          0          0         0         0
361     0.2347      0.977          0          0         0         0
362     0.2346     0.9767          0          0         0         0
363     0.2363     0.9837          0          0         0         0
364     0.2356      0.981          0          0         0         0
365     0.2351      0.979          0          0         0         0
366     0.2347     0.9772          0          0         0         0
367     0.2346     0.9767          0          0         0         0
368     0.2353     0.9795          0          0         0         0
369     0.2341     0.9749          0          0         0         0
370     0.2332     0.9709          0          0         0         0
371     0.2325     0.9679          0          0         0         0
372     0.2319     0.9657          0          0         0         0
373     0.2316     0.9645          0          0         0         0
374      0.234     0.9743          0          0         0         0
375     0.2331     0.9704          0          0         0         0
376     0.2322     0.9669          0          0         0         0
377     0.2316     0.9645          0          0         0         0
378     0.2314     0.9636          0          0         0         0
379      0.234     0.9745          0          0         0         0
380      0.233       0.97          0          0         0         0
381     0.2324     0.9676          0          0         0         0
382     0.2319     0.9655          0          0         0         0
383     0.2314     0.9634          0          0         0         0
384     0.2339     0.9739          0          0         0         0
385     0.2327     0.9687          0          0         0         0
386     0.2316     0.9644          0          0         0         0
387     0.2309     0.9614          0          0         0         0
388     0.2304     0.9592          0          0         0         0
389     0.2301      0.958          0          0         0         0
390     0.2325     0.9681          0          0         0         0
391     0.2314     0.9636          0          0         0         0
392     0.2308     0.9609          0          0         0         0
393     0.2301     0.9582          0          0         0         0
394     0.2299     0.9572          0          0         0         0
395     0.2324     0.9677          0          0         0         0
396     0.2314     0.9633          0          0         0         0
397     0.2307     0.9606          0          0         0         0
398     0.2302     0.9586          0          0         0         0
399     0.2298     0.9569          0          0         0         0
400     0.2343     0.9756          0          0         0         0
401     0.2333     0.9713          0          0         0         0
402     0.2324     0.9677          0          0         0         0
403     0.2319     0.9657          0          0         0         0
404     0.2315      0.964          0          0         0         0
405     0.2312     0.9628          0          0         0         0
406     0.2311     0.9622          0          0         0         0
407     0.2331     0.9707          0          0         0         0
408     0.2322     0.9668          0          0         0         0
409     0.2319     0.9654          0          0         0         0
410     0.2314     0.9635          0          0         0         0
411     0.2311     0.9623          0          0         0         0
412      0.231     0.9618          0          0         0         0
413     0.2332     0.9708          0          0         0         0
414     0.2321     0.9662          0          0         0         0
415     0.2319     0.9655          0          0         0         0
416     0.2315     0.9638          0          0         0         0
417     0.2311     0.9623          0          0         0         0
418      0.231     0.9619          0          0         0         0
419     0.2352     0.9792          0          0         0         0
420     0.2343     0.9757          0          0         0         0
421     0.2337     0.9728          0          0         0         0
422     0.2331     0.9705          0          0         0         0
423     0.2327     0.9688          0          0         0         0
424     0.2324     0.9678          0          0         0         0
425     0.2323     0.9673          0          0         0         0
426     0.2343     0.9754          0          0         0         0
427     0.2335     0.9724          0          0         0         0
428      0.233     0.9701          0          0         0         0
429     0.2326     0.9683          0          0         0         0
430     0.2323     0.9673          0          0         0         0
431     0.2322     0.9669          0          0         0         0
432     0.2342     0.9753          0          0         0         0
433     0.2336     0.9725          0          0         0         0
434     0.2329     0.9698          0          0         0         0
435     0.2326     0.9683          0          0         0         0
436     0.2324     0.9675          0          0         0         0
437     0.2323      0.967          0          0         0         0
438      0.235     0.9786          0          0         0         0
439     0.2342      0.975          0          0         0         0
440     0.2334     0.9719          0          0         0         0
441     0.2328     0.9693          0          0         0         0
442     0.2323     0.9673          0          0         0         0
443      0.232     0.9659          0          0         0         0
444     0.2319     0.9654          0          0         0         0
445     0.2341     0.9746          0          0         0         0
446     0.2333     0.9714          0          0         0         0
447     0.2327     0.9688          0          0         0         0
448     0.2322     0.9668          0          0         0         0
449     0.2319     0.9655          0          0         0         0
450     0.2317     0.9649          0          0         0         0
451     0.2341     0.9747          0          0         0         0
452     0.2333     0.9715          0          0         0         0
453     0.2327     0.9688          0          0         0         0
454     0.2323      0.967          0          0         0         0
455     0.2318      0.965          0          0         0         0
456     0.2318      0.965          0          0         0         0
457     0.2342     0.9752          0          0         0         0
458     0.2331     0.9707          0          0         0         0
459     0.2322     0.9669          0          0         0         0
460     0.2314     0.9636          0          0         0         0
461     0.2308     0.9608          0          0         0         0
462     0.2302     0.9584          0          0         0         0
463       0.23     0.9575          0          0         0         0
464     0.2331     0.9703          0          0         0         0
465     0.2321     0.9664          0          0         0         0
466     0.2313     0.9632          0          0         0         0
467     0.2307     0.9604          0          0         0         0
468     0.2298     0.9569          0          0         0         0
469     0.2299     0.9572          0          0         0         0
470      0.233     0.9702          0          0         0         0
471     0.2321     0.9665          0          0         0         0
472     0.2313     0.9632          0          0         0         0
473     0.2307     0.9604          0          0         0         0
474       0.23     0.9577          0          0         0         0
475     0.2297     0.9565          0          0         0         0
476     0.2347     0.9772          0          0         0         0
477     0.2338     0.9735          0          0         0         0
478      0.233     0.9703          0          0         0         0
479     0.2325     0.9682          0          0         0         0
480     0.2321     0.9666          0          0         0         0
481     0.2319     0.9655          0          0         0         0
482     0.2318      0.965          0          0         0         0
483     0.2337      0.973          0          0         0         0
484     0.2329     0.9697          0          0         0         0
485     0.2324     0.9678          0          0         0         0
486      0.232      0.966          0          0         0         0
487     0.2318     0.9651          0          0         0         0
488     0.2316     0.9643          0          0         0         0
489     0.2337     0.9732          0          0         0         0
490     0.2328     0.9693          0          0         0         0
491     0.2324     0.9677          0          0         0         0
492     0.2321     0.9663          0          0         0         0
493     0.2318     0.9652          0          0         0         0
494     0.2317     0.9647          0          0         0         0
495     0.2341     0.9746          0          0         0         0
496      0.233     0.9703          0          0         0         0
497     0.2321     0.9665          0          0         0         0
498     0.2314     0.9633          0          0         0         0
499     0.2308     0.9608          0          0         0         0
500     0.2304     0.9591          0          0         0         0
501     0.2301     0.9581          0          0         0         0
502      0.233       0.97          0          0         0         0
503     0.2321     0.9662          0          0         0         0
504     0.2312     0.9624          0          0         0         0
505     0.2306       0.96          0          0         0         0
506     0.2302     0.9586          0          0         0         0
507     0.2299     0.9571          0          0         0         0
508     0.2329     0.9698          0          0         0         0
509      0.232     0.9659          0          0         0         0
510     0.2313     0.9629          0          0         0         0
511     0.2307     0.9604          0          0         0         0
512     0.2302     0.9586          0          0         0         0
513       0.23     0.9575          0          0         0         0
514     0.2339      0.974          0          0         0         0
515     0.2328     0.9694          0          0         0         0
516     0.2318     0.9653          0          0         0         0
517      0.231     0.9616          0          0         0         0
518     0.2302     0.9586          0          0         0         0
519     0.2299     0.9572          0          0         0         0
520     0.2298     0.9567          0          0         0         0
521     0.2328     0.9691          0          0         0         0
522     0.2318     0.9649          0          0         0         0
523     0.2309     0.9613          0          0         0         0
524     0.2301      0.958          0          0         0         0
525     0.2297     0.9565          0          0         0         0
526     0.2297     0.9563          0          0         0         0
527     0.2328     0.9692          0          0         0         0
528     0.2318     0.9651          0          0         0         0
529     0.2308     0.9609          0          0         0         0
530     0.2298     0.9567          0          0         0         0
531     0.2297     0.9564          0          0         0         0
532     0.2297     0.9563          0          0         0         0
533     0.2333     0.9713          0          0         0         0
534      0.232     0.9661          0          0         0         0
535     0.2311      0.962          0          0         0         0
536     0.2303     0.9587          0          0         0         0
537     0.2296     0.9562          0          0         0         0
538     0.2292     0.9543          0          0         0         0
539      0.229     0.9534          0          0         0         0
540      0.232     0.9658          0          0         0         0
541     0.2309     0.9614          0          0         0         0
542     0.2301     0.9582          0          0         0         0
543     0.2295     0.9557          0          0         0         0
544      0.229     0.9534          0          0         0         0
545     0.2289     0.9529          0          0         0         0
546     0.2317     0.9646          0          0         0         0
547     0.2309     0.9614          0          0         0         0
548     0.2301     0.9581          0          0         0         0
549     0.2295     0.9556          0          0         0         0
550      0.229     0.9534          0          0         0         0
551     0.2288     0.9527          0          0         0         0
552     0.2343     0.9754          0          0         0         0
553     0.2337     0.9729          0          0         0         0
554     0.2332      0.971          0          0         0         0
555     0.2329     0.9697          0          0         0         0
556     0.2329     0.9697          0          0         0         0
557     0.2342     0.9751          0          0         0         0
558     0.2336     0.9725          0          0         0         0
559     0.2331     0.9705          0          0         0         0
560     0.2328     0.9692          0          0         0         0
561     0.2341     0.9748          0          0         0         0
562     0.2336     0.9725          0          0         0         0
563     0.2331     0.9707          0          0         0         0
564     0.2325     0.9682          0          0         0         0
565     0.2337     0.9729          0          0         0         0
566     0.2328     0.9694          0          0         0         0
567     0.2324     0.9674          0          0         0         0
568      0.232     0.9659          0          0         0         0
569     0.2317     0.9648          0          0         0         0
570     0.2326     0.9686          0          0         0         0
571     0.2323     0.9671          0          0         0         0
572     0.2319     0.9655          0          0         0         0
573     0.2315      0.964          0          0         0         0
574     0.2325      0.968          0          0         0         0
575     0.2323     0.9671          0          0         0         0
576     0.2319     0.9654          0          0         0         0
577     0.2315      0.964          0          0         0         0
578     0.2336     0.9727          0          0         0         0
579     0.2329     0.9698          0          0         0         0
580     0.2323     0.9673          0          0         0         0
581      0.232     0.9658          0          0         0         0
582     0.2318     0.9652          0          0         0         0
583     0.2329     0.9695          0          0         0         0
584     0.2322     0.9669          0          0         0         0
585     0.2319     0.9656          0          0         0         0
586     0.2317     0.9646          0          0         0         0
587     0.2328     0.9694          0          0         0         0
588     0.2321     0.9662          0          0         0         0
589     0.2317     0.9646          0          0         0         0
590     0.2317     0.9647          0          0         0         0
591     0.2297     0.9563          0          0         0         0
592     0.2281     0.9497          0          0         0         0
593     0.2268     0.9441          0          0         0         0
594     0.2257     0.9398          0          0         0         0
595      0.225     0.9367          0          0         0         0
596     0.2243     0.9341          0          0         0         0
597     0.2241     0.9333          0          0         0         0
598     0.2278     0.9485          0          0         0         0
599     0.2265      0.943          0          0         0         0
600     0.2254     0.9386          0          0         0         0
601     0.2249     0.9362          0          0         0         0
602      0.224     0.9325          0          0         0         0
603      0.224     0.9325          0          0         0         0
604      0.228     0.9492          0          0         0         0
605     0.2266     0.9433          0          0         0         0
606     0.2256     0.9393          0          0         0         0
607     0.2248     0.9362          0          0         0         0
608     0.2241     0.9329          0          0         0         0
609      0.224     0.9328          0          0         0         0
610     0.2299     0.9573          0          0         0         0
611     0.2284     0.9511          0          0         0         0
612     0.2272      0.946          0          0         0         0
613     0.2261     0.9415          0          0         0         0
614     0.2254     0.9384          0          0         0         0
615     0.2247     0.9357          0          0         0         0
616     0.2243     0.9341          0          0         0         0
617     0.2281     0.9498          0          0         0         0
618      0.227     0.9451          0          0         0         0
619     0.2258     0.9401          0          0         0         0
620     0.2253      0.938          0          0         0         0
621     0.2246     0.9353          0          0         0         0
622      0.224     0.9326          0          0         0         0
623     0.2284      0.951          0          0         0         0
624     0.2271     0.9457          0          0         0         0
625     0.2259     0.9407          0          0         0         0
626     0.2253      0.938          0          0         0         0
627     0.2245     0.9346          0          0         0         0
628     0.2241     0.9329          0          0         0         0
629     0.2306     0.9603          0          0         0         0
630     0.2293     0.9549          0          0         0         0
631     0.2284     0.9511          0          0         0         0
632     0.2277     0.9479          0          0         0         0
633      0.227     0.9451          0          0         0         0
634     0.2264     0.9426          0          0         0         0
635     0.2262     0.9417          0          0         0         0
636      0.229     0.9533          0          0         0         0
637     0.2284     0.9508          0          0         0         0
638     0.2276     0.9475          0          0         0         0
639     0.2269     0.9448          0          0         0         0
640     0.2259     0.9405          0          0         0         0
641      0.226     0.9408          0          0         0         0
642     0.2291     0.9539          0          0         0         0
643     0.2283     0.9505          0          0         0         0
644     0.2276     0.9475          0          0         0         0
645     0.2269     0.9448          0          0         0         0
646     0.2263     0.9424          0          0         0         0
647     0.2261     0.9413          0          0         0         0
648     0.2335     0.9724          0          0         0         0
649      0.233     0.9703          0          0         0         0
650     0.2326     0.9685          0          0         0         0
651     0.2323     0.9673          0          0         0         0
652     0.2321     0.9664          0          0         0         0
653      0.232      0.966          0          0         0         0
654      0.233     0.9699          0          0         0         0
655     0.2326     0.9683          0          0         0         0
656     0.2322     0.9668          0          0         0         0
657      0.232      0.966          0          0         0         0
658     0.2319     0.9657          0          0         0         0
659      0.233     0.9701          0          0         0         0
660     0.2325      0.968          0          0         0         0
661     0.2323     0.9672          0          0         0         0
662      0.232     0.9662          0          0         0         0
663      0.232     0.9658          0          0         0         0
664     0.2327     0.9687          0          0         0         0
665     0.2319     0.9656          0          0         0         0
666     0.2313      0.963          0          0         0         0
667     0.2307     0.9607          0          0         0         0
668     0.2304     0.9592          0          0         0         0
669     0.2301     0.9581          0          0         0         0
670     0.2319     0.9655          0          0         0         0
671     0.2312     0.9627          0          0         0         0
672     0.2306     0.9601          0          0         0         0
673     0.2303     0.9589          0          0         0         0
674     0.2298      0.957          0          0         0         0
675     0.2318     0.9649          0          0         0         0
676     0.2313     0.9629          0          0         0         0
677     0.2306     0.9602          0          0         0         0
678     0.2303     0.9587          0          0         0         0
679       0.23     0.9575          0          0         0         0
680      0.232     0.9659          0          0         0         0
681     0.2311     0.9622          0          0         0         0
682     0.2304     0.9593          0          0         0         0
683     0.2298     0.9569          0          0         0         0
684     0.2294     0.9551          0          0         0         0
685     0.2291     0.9538          0          0         0         0
686     0.2289     0.9531          0          0         0         0
687     0.2309     0.9613          0          0         0         0
688     0.2303     0.9588          0          0         0         0
689     0.2298     0.9567          0          0         0         0
690     0.2293     0.9546          0          0         0         0
691      0.229     0.9533          0          0         0         0
692     0.2288     0.9525          0          0         0         0
693      0.231     0.9619          0          0         0         0
694     0.2303     0.9588          0          0         0         0
695     0.2297     0.9564          0          0         0         0
696     0.2293     0.9548          0          0         0         0
697      0.229     0.9533          0          0         0         0
698     0.2288     0.9527          0          0         0         0
699     0.2322     0.9668          0          0         0         0
700     0.2314     0.9633          0          0         0         0
