no.   kW    kVAr   
 98  0.000  0.000 
 99  0.000  0.000 
 100  0.983  0.328 
 101  2.582  0.861 
 102  2.168  0.723 
 103  1.496  0.499 
 104  1.570  0.523 
 105  2.161  0.720 
 106  2.857  0.952 
 107  0.692  0.231 
 108  0.000  0.000 
 109  0.000  0.000 
 110  0.000  0.000 
 111  0.000  0.000 
 112  0.000  0.000 
 113  0.000  0.000 
 114  0.000  0.000 
 115  1.561  0.520 
 116  0.846  0.282 
 117  0.795  0.265 
 118  2.373  0.791 
 119  2.066  0.689 
 120  0.756  0.252 
 121  0.700  0.233 
 122  0.690  0.230 
 123  0.983  0.328 
 124  0.797  0.266 
 125  1.345  0.448 
 126  1.126  0.375 
 127  0.000  0.000 
 128  0.000  0.000 
 129  0.000  0.000 
 130  0.000  0.000 
 131  0.000  0.000 
 132  0.000  0.000 
 133  0.000  0.000 
 134  1.550  0.517 
 135  0.733  0.244 
 136  0.897  0.299 
 137  0.710  0.237 
 138  0.895  0.298 
 139  0.726  0.242 
 140  0.646  0.215 
 141  0.777  0.259 
 142  0.845  0.282 
 143  0.803  0.268 
 144  0.952  0.317 
 145  0.727  0.242 
 146  0.000  0.000 
 147  0.000  0.000 
 148  0.000  0.000 
 149  0.000  0.000 
 150  0.000  0.000 
 151  0.000  0.000 
 152  0.000  0.000 
 153  0.673  0.224 
 154  1.106  0.369 
 155  1.400  0.467 
 156  1.523  0.508 
 157  2.151  0.717 
 158  0.777  0.259 
 159  0.723  0.241 
 160  0.648  0.216 
 161  0.698  0.233 
 162  0.740  0.247 
 163  0.892  0.297 
 164  0.746  0.249 
 165  0.000  0.000 
 166  0.000  0.000 
 167  0.000  0.000 
 168  0.000  0.000 
 169  0.000  0.000 
 170  0.000  0.000 
 171  0.000  0.000 
 172  1.269  0.423 
 173  0.890  0.297 
 174  1.491  0.497 
 175  1.448  0.483 
 176  0.828  0.276 
 177  0.655  0.218 
 178  0.637  0.212 
 179  0.842  0.281 
 180  1.145  0.382 
 181  0.817  0.272 
 182  0.928  0.309 
 183  1.193  0.398 
 184  0.000  0.000 
 185  0.000  0.000 
 186  0.000  0.000 
 187  0.000  0.000 
 188  0.000  0.000 
 189  0.777  0.259 
 190  1.355  0.452 
 191  0.936  0.312 
 192  1.222  0.407 
 193  1.830  0.610 
 194  2.224  0.741 
 195  2.010  0.670 
 196  2.062  0.687 
 197  0.000  0.000 
 198  0.000  0.000 
 199  0.000  0.000 
 200  0.000  0.000 
 201  0.000  0.000 
 202  2.190  0.730 
 203  1.546  0.515 
 204  1.869  0.623 
 205  1.836  0.612 
 206  2.157  0.719 
 207  3.989  1.330 
 208  1.725  0.575 
 209  2.909  0.970 
 210  0.000  0.000 
 211  0.000  0.000 
 212  0.000  0.000 
 213  0.000  0.000 
 214  1.315  0.438 
 215  2.352  0.784 
 216  2.155  0.718 
 217  1.447  0.482 
 218  2.026  0.675 
 219  4.134  1.378 
 220  0.000  0.000 
 221  0.000  0.000 
 222  0.000  0.000 
 223  0.000  0.000 
 224  0.000  0.000 
 225  3.099  1.033 
 226  2.273  0.758 
 227  1.443  0.481 
 228  2.951  0.984 
 229  3.967  1.322 
 230  1.409  0.470 
 231  2.062  0.687 
 232  3.031  1.010 
 233  0.000  0.000 
 234  0.000  0.000 
 235  0.000  0.000 
 236  0.000  0.000 
 237  0.000  0.000 
 238  2.664  0.888 
 239  1.466  0.489 
 240  2.223  0.741 
 241  2.079  0.693 
 242  1.315  0.438 
 243  2.177  0.726 
 244  2.777  0.926 
 245  1.486  0.495 
 246  0.000  0.000 
 247  0.000  0.000 
 248  0.000  0.000 
 249  0.000  0.000 
 250  0.000  0.000 
 251  0.000  0.000 
 252  0.000  0.000 
 253  1.411  0.470 
 254  1.386  0.462 
 255  1.289  0.430 
 256  1.287  0.429 
 257  1.980  0.660 
 258  3.423  1.141 
 259  2.317  0.772 
 260  3.367  1.122 
 261  2.302  0.767 
 262  1.767  0.589 
 263  1.389  0.463 
 264  2.039  0.680 
 265  0.000  0.000 
 266  0.000  0.000 
 267  0.000  0.000 
 268  0.000  0.000 
 269  0.000  0.000 
 270  3.280  1.093 
 271  1.386  0.462 
 272  1.575  0.525 
 273  2.089  0.696 
 274  3.388  1.129 
 275  2.010  0.670 
 276  2.254  0.751 
 277  3.060  1.020 
 278  0.000  0.000 
 279  0.000  0.000 
 280  0.000  0.000 
 281  0.000  0.000 
 282  0.000  0.000 
 283  2.319  0.773 
 284  1.280  0.427 
 285  1.786  0.595 
 286  1.815  0.605 
 287  1.378  0.459 
 288  2.419  0.806 
 289  2.786  0.929 
 290  1.830  0.610 
 291  0.000  0.000 
 292  0.000  0.000 
 293  0.000  0.000 
 294  0.000  0.000 
 295  0.000  0.000 
 296  1.586  0.529 
 297  2.301  0.767 
 298  2.391  0.797 
 299  2.272  0.757 
 300  2.189  0.730 
 301  2.541  0.847 
 302  2.664  0.888 
 303  2.231  0.744 
 304  0.000  0.000 
 305  0.000  0.000 
 306  0.000  0.000 
 307  0.000  0.000 
 308  0.000  0.000 
 309  0.000  0.000 
 310  1.753  0.584 
 311  2.320  0.773 
 312  2.793  0.931 
 313  2.536  0.845 
 314  3.724  1.241 
 315  1.331  0.444 
 316  1.379  0.460 
 317  1.401  0.467 
 318  4.182  1.394 
 319  1.389  0.463 
 320  0.000  0.000 
 321  0.000  0.000 
 322  0.000  0.000 
 323  0.000  0.000 
 324  0.000  0.000 
 325  0.000  0.000 
 326  1.970  0.657 
 327  2.206  0.735 
 328  1.269  0.423 
 329  1.243  0.414 
 330  2.621  0.874 
 331  1.432  0.477 
 332  2.155  0.718 
 333  2.733  0.911 
 334  3.823  1.274 
 335  1.511  0.504 
 336  0.000  0.000 
 337  0.000  0.000 
 338  0.000  0.000 
 339  0.000  0.000 
 340  0.000  0.000 
 341  0.000  0.000 
 342  2.559  0.853 
 343  1.754  0.585 
 344  1.742  0.581 
 345  1.840  0.613 
 346  2.172  0.724 
 347  3.109  1.036 
 348  1.279  0.426 
 349  1.563  0.521 
 350  2.528  0.843 
 351  2.072  0.691 
 352  0.000  0.000 
 353  0.000  0.000 
 354  0.000  0.000 
 355  0.000  0.000 
 356  0.000  0.000 
 357  0.000  0.000 
 358  2.523  0.841 
 359  1.693  0.564 
 360  3.222  1.074 
 361  2.881  0.960 
 362  1.790  0.597 
 363  1.822  0.607 
 364  2.363  0.788 
 365  1.876  0.625 
 366  2.774  0.925 
 367  1.932  0.644 
 368  0.000  0.000 
 369  0.000  0.000 
 370  0.000  0.000 
 371  0.000  0.000 
 372  0.000  0.000 
 373  0.000  0.000 
 374  2.815  0.938 
 375  3.999  1.333 
 376  8.499  2.833 
 377  4.579  1.526 
 378  4.416  1.472 
 379  7.016  2.339 
 380  5.175  1.725 
 381  1.815  0.605 
 382  1.859  0.620 
 383  1.897  0.632 
 384  0.000  0.000 
 385  0.000  0.000 
 386  0.000  0.000 
 387  0.000  0.000 
 388  0.000  0.000 
 389  0.000  0.000 
 390  2.638  0.879 
 391  7.227  2.409 
 392  1.685  0.562 
 393  4.780  1.593 
 394  4.217  1.406 
 395  3.287  1.096 
 396  4.081  1.360 
 397  4.414  1.471 
 398  2.545  0.848 
 399  3.392  1.131 
 400  0.000  0.000 
 401  0.000  0.000 
 402  0.000  0.000 
 403  0.000  0.000 
 404  0.000  0.000 
 405  0.000  0.000 
 406  0.000  0.000 
 407  2.171  0.724 
 408  2.163  0.721 
 409  1.374  0.458 
 410  1.223  0.408 
 411  1.108  0.369 
 412  1.323  0.441 
 413  1.024  0.341 
 414  1.131  0.377 
 415  0.740  0.247 
 416  0.897  0.299 
 417  1.671  0.557 
 418  1.221  0.407 
 419  0.000  0.000 
 420  0.000  0.000 
 421  0.000  0.000 
 422  0.000  0.000 
 423  0.000  0.000 
 424  0.000  0.000 
 425  0.000  0.000 
 426  0.977  0.326 
 427  1.074  0.358 
 428  1.027  0.342 
 429  0.867  0.289 
 430  1.305  0.435 
 431  1.521  0.507 
 432  1.790  0.597 
 433  1.269  0.423 
 434  0.857  0.286 
 435  1.616  0.539 
 436  0.905  0.302 
 437  0.947  0.316 
 438  0.000  0.000 
 439  0.000  0.000 
 440  0.000  0.000 
 441  0.000  0.000 
 442  0.000  0.000 
 443  0.000  0.000 
 444  0.000  0.000 
 445  1.499  0.500 
 446  0.981  0.327 
 447  1.631  0.544 
 448  1.703  0.568 
 449  1.449  0.483 
 450  1.017  0.339 
 451  1.486  0.495 
 452  1.247  0.416 
 453  0.935  0.312 
 454  1.052  0.351 
 455  1.586  0.529 
 456  1.422  0.474 
 457  0.000  0.000 
 458  0.000  0.000 
 459  0.000  0.000 
 460  0.000  0.000 
 461  0.000  0.000 
 462  0.000  0.000 
 463  0.000  0.000 
 464  1.346  0.449 
 465  1.431  0.477 
 466  1.520  0.507 
 467  1.600  0.533 
 468  1.196  0.399 
 469  1.232  0.411 
 470  2.548  0.849 
 471  1.550  0.517 
 472  1.442  0.481 
 473  1.302  0.434 
 474  1.209  0.403 
 475  1.234  0.411 
 476  0.000  0.000 
 477  0.000  0.000 
 478  0.000  0.000 
 479  0.000  0.000 
 480  0.000  0.000 
 481  0.000  0.000 
 482  0.000  0.000 
 483  1.239  0.413 
 484  2.321  0.774 
 485  1.204  0.401 
 486  2.012  0.671 
 487  1.472  0.491 
 488  1.206  0.402 
 489  1.225  0.408 
 490  1.418  0.473 
 491  1.891  0.630 
 492  1.247  0.416 
 493  1.284  0.428 
 494  1.191  0.397 
 495  0.000  0.000 
 496  0.000  0.000 
 497  0.000  0.000 
 498  0.000  0.000 
 499  0.000  0.000 
 500  0.000  0.000 
 501  0.000  0.000 
 502  1.222  0.407 
 503  1.245  0.415 
 504  1.411  0.470 
 505  1.392  0.464 
 506  1.221  0.407 
 507  1.284  0.428 
 508  1.259  0.420 
 509  1.657  0.552 
 510  1.220  0.407 
 511  1.279  0.426 
 512  1.718  0.573 
 513  1.360  0.453 
 514  0.000  0.000 
 515  0.000  0.000 
 516  0.000  0.000 
 517  0.000  0.000 
 518  0.000  0.000 
 519  0.000  0.000 
 520  0.000  0.000 
 521  1.318  0.439 
 522  1.601  0.534 
 523  1.701  0.567 
 524  1.696  0.565 
 525  1.264  0.421 
 526  1.275  0.425 
 527  1.264  0.421 
 528  1.993  0.664 
 529  1.480  0.493 
 530  1.671  0.557 
 531  1.365  0.455 
 532  1.452  0.484 
 533  0.000  0.000 
 534  0.000  0.000 
 535  0.000  0.000 
 536  0.000  0.000 
 537  0.000  0.000 
 538  0.000  0.000 
 539  0.000  0.000 
 540  1.514  0.505 
 541  1.792  0.597 
 542  3.034  1.011 
 543  1.404  0.468 
 544  1.529  0.510 
 545  1.311  0.437 
 546  1.406  0.469 
 547  1.707  0.569 
 548  1.462  0.487 
 549  2.721  0.907 
 550  1.320  0.440 
 551  1.703  0.568 
 552  0.000  0.000 
 553  0.000  0.000 
 554  0.000  0.000 
 555  0.000  0.000 
 556  0.000  0.000 
 557  1.676  0.559 
 558  2.950  0.983 
 559  1.485  0.495 
 560  1.411  0.470 
 561  1.621  0.540 
 562  2.068  0.689 
 563  1.711  0.570 
 564  1.700  0.567 
 565  0.000  0.000 
 566  0.000  0.000 
 567  0.000  0.000 
 568  0.000  0.000 
 569  0.000  0.000 
 570  1.331  0.444 
 571  1.375  0.458 
 572  1.326  0.442 
 573  1.372  0.457 
 574  1.770  0.590 
 575  1.796  0.599 
 576  1.900  0.633 
 577  4.047  1.349 
 578  0.000  0.000 
 579  0.000  0.000 
 580  0.000  0.000 
 581  0.000  0.000 
 582  0.000  0.000 
 583  1.501  0.500 
 584  1.606  0.535 
 585  1.364  0.455 
 586  2.599  0.866 
 587  1.827  0.609 
 588  1.485  0.495 
 589  1.336  0.445 
 590  2.216  0.739 
 591  0.000  0.000 
 592  0.000  0.000 
 593  0.000  0.000 
 594  0.000  0.000 
 595  0.000  0.000 
 596  0.000  0.000 
 597  0.000  0.000 
 598  1.540  0.513 
 599  2.084  0.695 
 600  1.923  0.641 
 601  1.973  0.658 
 602  2.553  0.851 
 603  1.500  0.500 
 604  3.177  1.059 
 605  1.904  0.635 
 606  1.458  0.486 
 607  1.355  0.452 
 608  2.009  0.670 
 609  0.879  0.293 
 610  0.000  0.000 
 611  0.000  0.000 
 612  0.000  0.000 
 613  0.000  0.000 
 614  0.000  0.000 
 615  0.000  0.000 
 616  0.000  0.000 
 617  0.734  0.245 
 618  0.691  0.230 
 619  0.876  0.292 
 620  0.912  0.304 
 621  0.692  0.231 
 622  0.792  0.264 
 623  1.512  0.504 
 624  1.250  0.417 
 625  0.822  0.274 
 626  0.843  0.281 
 627  0.884  0.295 
 628  1.038  0.346 
 629  0.000  0.000 
 630  0.000  0.000 
 631  0.000  0.000 
 632  0.000  0.000 
 633  0.000  0.000 
 634  0.000  0.000 
 635  0.000  0.000 
 636  2.373  0.791 
 637  1.510  0.503 
 638  1.617  0.539 
 639  1.894  0.631 
 640  1.321  0.440 
 641  2.586  0.862 
 642  1.267  0.422 
 643  1.275  0.425 
 644  1.950  0.650 
 645  2.034  0.678 
 646  1.349  0.450 
 647  1.679  0.560 
 648  0.000  0.000 
 649  0.000  0.000 
 650  0.000  0.000 
 651  0.000  0.000 
 652  0.000  0.000 
 653  0.000  0.000 
 654  1.324  0.441 
 655  1.377  0.459 
 656  1.808  0.603 
 657  2.042  0.681 
 658  2.015  0.672 
 659  1.387  0.462 
 660  1.363  0.454 
 661  1.301  0.434 
 662  1.339  0.446 
 663  1.376  0.459 
 664  0.000  0.000 
 665  0.000  0.000 
 666  0.000  0.000 
 667  0.000  0.000 
 668  0.000  0.000 
 669  0.000  0.000 
 670  1.206  0.402 
 671  1.384  0.461 
 672  2.939  0.980 
 673  0.983  0.328 
 674  2.582  0.861 
 675  2.168  0.723 
 676  1.496  0.499 
 677  1.570  0.523 
 678  2.161  0.720 
 679  2.857  0.952 
 680  0.000  0.000 
 681  0.000  0.000 
 682  0.000  0.000 
 683  0.000  0.000 
 684  0.000  0.000 
 685  0.000  0.000 
 686  0.000  0.000 
 687  0.692  0.231 
 688  1.561  0.520 
 689  0.846  0.282 
 690  0.795  0.265 
 691  2.373  0.791 
 692  2.066  0.689 
 693  0.756  0.252 
 694  0.700  0.233 
 695  0.690  0.230 
 696  0.983  0.328 
 697  0.797  0.266 
 698  1.345  0.448 
 699  0.000  0.000 
 700  0.000  0.000 
 701  0.000  0.000 
 702  0.000  0.000 
 703  0.000  0.000 
 704  0.000  0.000 
 705  0.000  0.000 
 706  1.126  0.375 
 707  1.550  0.517 
 708  0.733  0.244 
 709  0.897  0.299 
 710  0.710  0.237 
 711  0.895  0.298 
 712  0.726  0.242 
 713  0.646  0.215 
 714  0.777  0.259 
 715  0.845  0.282 
 716  0.803  0.268 
 717  0.952  0.317 
 718  0.000  0.000 
 719  0.000  0.000 
 720  0.000  0.000 
 721  0.000  0.000 
 722  0.000  0.000 
 723  0.727  0.242 
 724  0.673  0.224 
 725  1.106  0.369 
 726  1.400  0.467 
 727  1.523  0.508 
 728  2.151  0.717 
 729  0.777  0.259 
 730  0.723  0.241 
